,From Bank,To Bank,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
53,28335,10154,3654.35,Yuan,3654.35,Yuan,ACH,1
54,2692,425,9247.17,Euro,9247.17,Euro,ACH,1
55,24455,25400,447.49,Euro,447.49,Euro,Cheque,0
56,165440,165362,1225.1,Saudi Riyal,1225.1,Saudi Riyal,Cheque,0
57,70,155119,14.84,Swiss Franc,14.84,Swiss Franc,Cheque,1
58,353256,53736,63.82,Swiss Franc,63.82,Swiss Franc,ACH,0
59,17,153802,151.14,Swiss Franc,151.14,Swiss Franc,Cheque,0
60,33988,21828,746.11,US Dollar,746.11,US Dollar,Cash,0
61,113,146768,366425.92,Mexican Peso,366425.92,Mexican Peso,ACH,1
62,3533,15355,303.28,US Dollar,303.28,US Dollar,Credit Card,0
63,0,233640,56859.15,Euro,56859.15,Euro,Cheque,0
64,12,212840,3460.49,Yuan,3460.49,Yuan,Credit Card,0
65,235373,11314,145.02,Euro,145.02,Euro,Credit Card,0
66,26179,4894,4123.82,US Dollar,4123.82,US Dollar,ACH,1
67,125589,50285,7863.31,Euro,7863.31,Euro,ACH,1
68,23544,224237,1209709.61,Rupee,1209709.61,Rupee,Cheque,0
69,13395,15786,32433.23,US Dollar,32433.23,US Dollar,ACH,1
70,22364,1291,4128.53,US Dollar,4128.53,US Dollar,Credit Card,0
71,70,5621,95.17,US Dollar,95.17,US Dollar,Credit Card,1
72,22481,162614,1439.54,US Dollar,1439.54,US Dollar,ACH,1
73,35777,8,5662.51,Canadian Dollar,5662.51,Canadian Dollar,Credit Card,0
74,6586,114983,3570.99,Euro,3570.99,Euro,Cheque,0
75,133903,123520,2.73,Euro,2.73,Euro,Credit Card,0
76,22031,22661,16466.28,US Dollar,16466.28,US Dollar,ACH,1
77,20,349,15178.93,US Dollar,15178.93,US Dollar,ACH,1
78,70,28335,2978.21,Yuan,2978.21,Yuan,Cheque,1
79,219,17,2593.98,Swiss Franc,2593.98,Swiss Franc,Cheque,0
80,70,71642,0.335794,Bitcoin,0.335794,Bitcoin,Bitcoin,1
81,70,221840,134090.62,Yen,134090.62,Yen,Cheque,0
82,23,3100,10993.76,US Dollar,10993.76,US Dollar,ACH,1
83,70,234933,332.02,US Dollar,332.02,US Dollar,Cheque,1
84,212418,16505,1186.78,Euro,1186.78,Euro,Cheque,0
85,70,237598,31.85,Euro,31.85,Euro,Credit Card,1
86,15680,15680,5620.16,US Dollar,5620.16,US Dollar,Reinvestment,0
87,23041,4790,162157.1,US Dollar,162157.1,US Dollar,Cash,0
88,70,112357,3418.69,Euro,3418.69,Euro,Credit Card,1
89,149034,214,612.18,Brazil Real,612.18,Brazil Real,Wire,0
90,53736,252477,8511.12,Swiss Franc,8511.12,Swiss Franc,ACH,1
91,115648,19836,13195.94,Yen,13195.94,Yen,Cheque,0
92,18,112,34.12,Swiss Franc,34.12,Swiss Franc,Credit Card,0
93,69289,69289,0.015137,Bitcoin,0.015137,Bitcoin,Bitcoin,0
94,12503,25307,666.43,Euro,666.43,Euro,Cheque,0
95,242676,22547,1659.42,US Dollar,1659.42,US Dollar,ACH,1
96,70,126123,89596.43,Rupee,89596.43,Rupee,Cheque,1
97,222654,222654,11298.13,Euro,11298.13,Euro,Reinvestment,0
98,35259,19229,337.21,US Dollar,337.21,US Dollar,Cheque,0
99,1595,11,13341.59,Euro,13341.59,Euro,ACH,1
100,11,2196,9029.54,US Dollar,9029.54,US Dollar,ACH,1
101,123800,23539,41386588.44,Rupee,41386588.44,Rupee,ACH,0
102,173457,173457,0.019685,Bitcoin,0.019685,Bitcoin,Bitcoin,0
103,70,21876,4371.67,Euro,4371.67,Euro,Cheque,0
104,3,5383,7617.63,Euro,7617.63,Euro,Cash,0
105,31363,18665,1560.43,US Dollar,1560.43,US Dollar,ACH,1
106,29640,17579,288589.74,Yen,288589.74,Yen,ACH,1
107,22547,18840,2688.24,US Dollar,2688.24,US Dollar,ACH,1
108,1217,1217,11848.95,US Dollar,11848.95,US Dollar,ACH,1
109,1231,20,453.67,US Dollar,453.67,US Dollar,Cash,0
110,316638,316638,368.22,US Dollar,368.22,US Dollar,Reinvestment,0
111,70,1439,1790.12,US Dollar,1790.12,US Dollar,Credit Card,0
112,12055,215112,18850.33,Euro,18850.33,Euro,Credit Card,0
113,224191,118293,3006.74,Euro,3006.74,Euro,ACH,1
114,2196,1291,16928.89,US Dollar,16928.89,US Dollar,ACH,1
115,110198,241256,6056.95,Australian Dollar,6056.95,Australian Dollar,ACH,1
116,20,425,4199.93,Euro,4199.93,Euro,ACH,1
117,12204,14595,40231.93,US Dollar,40231.93,US Dollar,Wire,0
118,70,249566,39618.88,Brazil Real,39618.88,Brazil Real,Credit Card,0
119,136474,235735,4963.64,Canadian Dollar,4963.64,Canadian Dollar,Cheque,0
120,262290,219687,4486.44,US Dollar,4486.44,US Dollar,ACH,1
121,1291,2196,380.58,US Dollar,380.58,US Dollar,Cash,0
122,217,264152,646.05,Saudi Riyal,646.05,Saudi Riyal,Credit Card,0
123,10,23,921106.82,Yen,921106.82,Yen,ACH,1
124,28932,19085,29.06,US Dollar,29.06,US Dollar,Cash,0
125,22026,423,192.71,Euro,192.71,Euro,Credit Card,0
126,2514,20,764.78,Euro,764.78,Euro,ACH,1
127,70,25384,154.66,Euro,154.66,Euro,Cheque,1
128,6829,14213,1452.71,Euro,1452.71,Euro,ACH,1
129,12,11880,66549.21,US Dollar,66549.21,US Dollar,Cheque,0
130,227639,227639,24.89,US Dollar,24.89,US Dollar,Reinvestment,0
131,29448,253967,339.26,US Dollar,339.26,US Dollar,Credit Card,0
132,69289,69289,10.248556,Bitcoin,10.248556,Bitcoin,Bitcoin,0
133,40904,41348,1629.47,Australian Dollar,1629.47,Australian Dollar,ACH,1
134,237253,237253,1999738.63,US Dollar,1999738.63,US Dollar,Reinvestment,0
135,394,22124,3448.39,US Dollar,3448.39,US Dollar,ACH,1
136,157948,160372,13131.59,Shekel,13131.59,Shekel,Cheque,0
137,20,269329,0.009746,Bitcoin,0.009746,Bitcoin,Bitcoin,0
138,70,425,975390.85,Euro,975390.85,Euro,Cheque,1
139,258461,257858,50470.81,Shekel,50470.81,Shekel,Cheque,1
140,28932,220729,241.74,US Dollar,241.74,US Dollar,Credit Card,0
141,13,13,1931.03,Yen,1931.03,Yen,Reinvestment,0
142,2175,5571,3967.27,US Dollar,3967.27,US Dollar,ACH,1
143,257433,112,15614.42,Shekel,15614.42,Shekel,Credit Card,0
144,259592,259592,787606.7,Shekel,787606.7,Shekel,Reinvestment,0
145,25384,16293,1911.7,Euro,1911.7,Euro,ACH,1
146,20,20,16440.02,Euro,16440.02,Euro,ACH,1
147,70,2175,271.99,US Dollar,271.99,US Dollar,Credit Card,1
148,248575,152433,20253.35,Brazil Real,20253.35,Brazil Real,Cheque,0
149,235053,142590,3141.09,US Dollar,3141.09,US Dollar,ACH,1
150,70,116,1265.08,Brazil Real,1265.08,Brazil Real,Cash,1
151,1291,246342,1798.6,US Dollar,1798.6,US Dollar,ACH,0
152,17256,247270,105.05,US Dollar,105.05,US Dollar,Credit Card,0
153,215478,118088,81273.62,Yen,81273.62,Yen,Cheque,0
154,19368,115212,30509.92,Euro,30509.92,Euro,ACH,1
155,40989,42004,704.12,Australian Dollar,704.12,Australian Dollar,Cheque,0
156,70,1120,447.29,US Dollar,447.29,US Dollar,Credit Card,1
157,231755,5724,2987.23,Euro,2987.23,Euro,ACH,1
158,8997,5893,85119.68,Yuan,85119.68,Yuan,Cheque,0
159,2293,30731,151526.8,Euro,151526.8,Euro,Cheque,0
160,14,14,23238.38,Rupee,23238.38,Rupee,ACH,1
161,1199,258799,2374.12,Shekel,2374.12,Shekel,Credit Card,0
162,21547,21547,328.54,US Dollar,328.54,US Dollar,Reinvestment,0
163,12,23726,6156.93,Euro,6156.93,Euro,ACH,1
164,1,11,11574.85,Euro,11574.85,Euro,ACH,1
165,244413,217242,343.67,Euro,343.67,Euro,Cheque,0
166,210484,55677,176.8,Yuan,176.8,Yuan,Credit Card,0
167,70,8106,5485.05,US Dollar,5485.05,US Dollar,Cheque,1
168,1720,17353,309.64,Euro,309.64,Euro,Cheque,0
169,12,15331,40.93,US Dollar,40.93,US Dollar,Credit Card,0
170,70,11,591649.27,Yuan,591649.27,Yuan,Cash,1
171,26922,27,31875.23,Yuan,31875.23,Yuan,Cash,0
172,241503,19,77.77,Australian Dollar,77.77,Australian Dollar,Cash,0
173,129765,172690,22674028.15,Euro,22674028.15,Euro,ACH,1
174,112438,1720,2427.01,Euro,2427.01,Euro,ACH,1
175,220421,220421,14788601.96,Yen,14788601.96,Yen,Reinvestment,0
176,22364,1110,70.31,US Dollar,70.31,US Dollar,Cash,0
177,70,16,1377.35,Canadian Dollar,1377.35,Canadian Dollar,Cheque,1
178,11314,5312,878.81,Euro,878.81,Euro,Cheque,0
179,29640,17891,5636.06,Yen,5636.06,Yen,Cheque,0
180,149205,151852,532070.16,Brazil Real,532070.16,Brazil Real,Cheque,0
181,259720,137952,2905.14,US Dollar,2905.14,US Dollar,Cheque,0
182,11671,40104,3105.72,US Dollar,3105.72,US Dollar,Credit Card,0
183,17213,17213,166605.14,Yuan,166605.14,Yuan,ACH,1
184,22224,218057,102.7,US Dollar,102.7,US Dollar,Cheque,0
185,52898,17,28.97,Swiss Franc,28.97,Swiss Franc,ACH,0
186,1110,21876,16753.04,Euro,16753.04,Euro,ACH,1
187,40122,11968,3098.33,US Dollar,3098.33,US Dollar,ACH,1
188,70,215456,2787.01,US Dollar,2787.01,US Dollar,Cheque,1
189,25,32245,932869.48,Ruble,932869.48,Ruble,ACH,1
190,35777,135558,4873.63,Canadian Dollar,4873.63,Canadian Dollar,ACH,1
191,21566,3460,14219.92,Euro,14219.92,Euro,ACH,1
192,32924,24950,138.73,US Dollar,138.73,US Dollar,Cheque,0
193,113,158053,1001.16,Shekel,1001.16,Shekel,Cheque,0
194,19414,123568,168752.73,Rupee,168752.73,Rupee,ACH,1
195,70,144315,12402.77,US Dollar,12402.77,US Dollar,Credit Card,1
196,531,531,6.28,US Dollar,6.28,US Dollar,Reinvestment,0
197,3533,33296,22.56,US Dollar,22.56,US Dollar,Credit Card,0
198,425,1422,6851.65,US Dollar,6851.65,US Dollar,ACH,1
199,52788,53905,10999.03,Swiss Franc,10999.03,Swiss Franc,Cheque,0
200,28335,19931,4462.63,Yuan,4462.63,Yuan,Credit Card,0
201,3202,22364,6.24,US Dollar,6.24,US Dollar,ACH,0
202,27,23,52929.97,Ruble,52929.97,Ruble,ACH,0
203,22185,13474,3666.8,US Dollar,3666.8,US Dollar,ACH,1
204,220822,5206,3855.22,US Dollar,3855.22,US Dollar,ACH,1
205,423,24455,271.6,Euro,271.6,Euro,Credit Card,0
206,15607,15607,763.89,US Dollar,651.9,Euro,ACH,0
207,1720,2557,16022.24,Euro,16022.24,Euro,Cheque,1
208,27425,27,62701.45,Yuan,62701.45,Yuan,ACH,1
209,5923,9530,469028.85,Yuan,469028.85,Yuan,Cheque,0
210,70,46428,312500.45,Mexican Peso,312500.45,Mexican Peso,Cheque,1
211,14213,3,95.71,Euro,95.71,Euro,ACH,1
212,171669,269077,0.000825,Bitcoin,0.000825,Bitcoin,Bitcoin,0
213,1110,21444,1785.38,Euro,1785.38,Euro,ACH,1
214,25242,28195,6500.32,US Dollar,6500.32,US Dollar,Cheque,0
215,70,236190,3772.15,Euro,3772.15,Euro,Cash,1
216,114948,19419,4160.34,Euro,4160.34,Euro,Cheque,0
217,25307,6090,14.18,Euro,14.18,Euro,Credit Card,0
218,217,65528,26344.28,Saudi Riyal,26344.28,Saudi Riyal,Cheque,0
219,22031,24950,602.29,US Dollar,602.29,US Dollar,ACH,1
220,498,12055,14.01,Euro,14.01,Euro,Cheque,0
221,128019,218057,4468.81,US Dollar,4468.81,US Dollar,ACH,1
222,1835,1812,16409.88,US Dollar,16409.88,US Dollar,ACH,1
223,19,40904,4627.03,Australian Dollar,4627.03,Australian Dollar,ACH,1
224,12202,24562,1983.86,Euro,1983.86,Euro,ACH,1
225,349,394,13096.31,US Dollar,13096.31,US Dollar,ACH,1
226,270372,71657,0.152242,Bitcoin,0.152242,Bitcoin,Bitcoin,0
227,217,163233,7236.54,Saudi Riyal,7236.54,Saudi Riyal,Credit Card,0
228,423,112357,3982.09,Euro,3982.09,Euro,Cheque,0
229,70,212,11078.3,Australian Dollar,11078.3,Australian Dollar,Credit Card,0
230,70,157948,26722.94,Shekel,26722.94,Shekel,Credit Card,1
231,316104,11,116.72,US Dollar,116.72,US Dollar,Cheque,0
232,5206,110777,540.47,US Dollar,540.47,US Dollar,Cheque,0
233,70,152926,114.9,Swiss Franc,114.9,Swiss Franc,Credit Card,0
234,22364,17831,1249.4,US Dollar,1249.4,US Dollar,ACH,1
235,236872,15607,37450.01,Euro,37450.01,Euro,ACH,1
236,23571,22364,69501.05,US Dollar,69501.05,US Dollar,ACH,0
237,259720,19561,161.07,US Dollar,161.07,US Dollar,ACH,1
238,70,692,864.9,Yuan,864.9,Yuan,Credit Card,1
239,12,2557,15645.21,Euro,15645.21,Euro,ACH,1
240,16456,27175,58.62,US Dollar,58.62,US Dollar,Credit Card,0
241,224257,127361,32357.79,Rupee,32357.79,Rupee,Cheque,0
242,227639,45803,4792.83,US Dollar,4792.83,US Dollar,ACH,1
243,15400,211012,6803.91,Euro,6803.91,Euro,Wire,0
244,12,498,6015.7,Euro,6015.7,Euro,ACH,1
245,14,224,1680.83,US Dollar,1680.83,US Dollar,ACH,1
246,11,210,39074.43,Brazil Real,39074.43,Brazil Real,ACH,1
247,28560,24643,2864.68,Euro,2864.68,Euro,ACH,1
248,11,135925,842.08,Canadian Dollar,842.08,Canadian Dollar,Cheque,0
249,1394,20,1033.67,US Dollar,1033.67,US Dollar,Cheque,0
250,19,113,8697.39,Mexican Peso,8697.39,Mexican Peso,Credit Card,0
251,24070,25307,2206.89,Euro,2206.89,Euro,Credit Card,0
252,3440,134085,217.59,US Dollar,217.59,US Dollar,ACH,0
253,119732,5,260600.95,Rupee,260600.95,Rupee,Cash,0
254,1231,20,7.65,US Dollar,7.65,US Dollar,ACH,0
255,70,12204,1269.96,US Dollar,1269.96,US Dollar,Cash,1
256,394,1776,10998.22,Euro,10998.22,Euro,ACH,1
257,24070,29433,24900979.88,Euro,24900979.88,Euro,Cheque,0
258,2860,24216,387.86,US Dollar,387.86,US Dollar,Cheque,0
259,394,21876,11633.15,Euro,11633.15,Euro,ACH,1
260,394,21566,19264.7,US Dollar,19264.7,US Dollar,ACH,1
261,70,223550,343420.19,US Dollar,343420.19,US Dollar,Cash,1
262,12386,1595,8368.93,Euro,8368.93,Euro,ACH,1
263,70,5621,6404.74,US Dollar,6404.74,US Dollar,Cheque,0
264,213123,28932,957.58,US Dollar,957.58,US Dollar,ACH,1
265,136311,136009,185.48,Canadian Dollar,185.48,Canadian Dollar,ACH,1
266,12503,66647,330.27,Euro,330.27,Euro,Cheque,0
267,5855,12063,1712.36,US Dollar,1712.36,US Dollar,ACH,1
268,215505,23848,1866.85,Euro,1866.85,Euro,ACH,1
269,5,5,708.55,Rupee,708.55,Rupee,Reinvestment,0
270,394,1231,1847.82,US Dollar,1847.82,US Dollar,Cheque,0
271,29900,13413,954.11,Yuan,954.11,Yuan,ACH,1
272,22481,11222,305417.24,US Dollar,305417.24,US Dollar,Cheque,0
273,5855,11222,231.5,US Dollar,231.5,US Dollar,Credit Card,0
274,12274,14172,105.6,Euro,105.6,Euro,Cheque,0
275,214,248739,1185.48,Brazil Real,1185.48,Brazil Real,Credit Card,0
276,7080,13218,21991.95,Yuan,21991.95,Yuan,ACH,0
277,1394,21260,25.12,US Dollar,25.12,US Dollar,Cash,0
278,70,224191,2184.61,Euro,2184.61,Euro,Credit Card,0
279,14,1422,14070.42,US Dollar,14070.42,US Dollar,ACH,1
280,70,7080,59.23,Yuan,59.23,Yuan,Credit Card,1
281,1217,20,15249.24,Euro,15249.24,Euro,ACH,1
282,51510,219760,2814.08,Euro,2814.08,Euro,ACH,0
283,26,423,16625.04,Euro,16625.04,Euro,ACH,1
284,692,27,24534.5,Yuan,24534.5,Yuan,ACH,1
285,133044,117301,3177.02,US Dollar,3177.02,US Dollar,Credit Card,0
286,70,132407,35885.89,Ruble,35885.89,Ruble,Credit Card,1
287,369754,47381,137.85,Euro,137.85,Euro,ACH,0
288,27425,12469,12158.78,Yuan,12158.78,Yuan,Cheque,0
289,152926,53937,380323.64,Swiss Franc,380323.64,Swiss Franc,Cash,0
290,70,71356,0.130325,Bitcoin,0.130325,Bitcoin,Bitcoin,0
291,70,12,35116.61,Yuan,35116.61,Yuan,Credit Card,1
292,23033,123651,3018.77,Rupee,3018.77,Rupee,Cheque,0
293,70,17059,194.94,Euro,194.94,Euro,Cheque,1
294,222654,14851,2814.77,Euro,2814.77,Euro,ACH,1
295,2293,37548,69.23,Euro,69.23,Euro,Credit Card,0
296,70,14,81167.23,Shekel,81167.23,Shekel,Cheque,1
297,41215,143280,4802.64,US Dollar,4802.64,US Dollar,ACH,1
298,311737,121480,0.06,Yuan,0.06,Yuan,ACH,0
299,22129,11701,402.43,US Dollar,402.43,US Dollar,ACH,1
300,11046,22129,5355.3,US Dollar,5355.3,US Dollar,Cheque,0
301,23,20,14299.17,US Dollar,14299.17,US Dollar,ACH,1
302,11770,217798,148154.22,US Dollar,148154.22,US Dollar,Wire,0
303,212854,217519,1569.26,Euro,1569.26,Euro,ACH,1
304,18665,15640,2347.61,US Dollar,2347.61,US Dollar,Credit Card,0
305,70,236259,3467.39,US Dollar,3467.39,US Dollar,Cheque,1
306,25307,22264,15743.98,Euro,15743.98,Euro,ACH,1
307,1217,224,5260.9,US Dollar,5260.9,US Dollar,ACH,1
308,135933,36524,1853.62,Canadian Dollar,1853.62,Canadian Dollar,ACH,1
309,115128,62667,2058.63,US Dollar,2058.63,US Dollar,Cheque,0
310,212,40904,2551.56,Australian Dollar,2551.56,Australian Dollar,Cheque,0
311,349,2175,2033.55,US Dollar,2033.55,US Dollar,ACH,1
312,232746,213123,158.71,US Dollar,158.71,US Dollar,ACH,1
313,270308,69314,0.295701,Bitcoin,0.295701,Bitcoin,Bitcoin,1
314,235943,136424,657.89,Canadian Dollar,657.89,Canadian Dollar,ACH,1
315,394,112568,614.01,US Dollar,614.01,US Dollar,ACH,1
316,13191,112857,2798.02,Yuan,2798.02,Yuan,Cheque,0
317,14652,11,4.08,Euro,4.08,Euro,Credit Card,0
318,70,13590,435.3,Euro,435.3,Euro,Cheque,0
319,267233,257989,2610.65,US Dollar,2610.65,US Dollar,ACH,1
320,12055,24643,1314.06,Euro,1314.06,Euro,ACH,0
321,2,2,499972.93,Rupee,499972.93,Rupee,Credit Card,0
322,70,117960,66443.34,Yen,66443.34,Yen,Cash,1
323,50901,249331,26150.86,Brazil Real,26150.86,Brazil Real,ACH,1
324,224,22547,83.51,US Dollar,83.51,US Dollar,Cash,0
325,214111,222433,1.05,US Dollar,1.05,US Dollar,Cash,0
326,216,118840,433.99,US Dollar,433.99,US Dollar,Cheque,0
327,425,25400,13866.33,Euro,13866.33,Euro,ACH,1
328,3,600,561.1,Euro,561.1,Euro,Credit Card,0
329,63834,217,18261.89,Saudi Riyal,18261.89,Saudi Riyal,ACH,1
330,6058,15461,6872.14,Euro,6872.14,Euro,ACH,1
331,11,26922,476355.35,Yuan,476355.35,Yuan,Cheque,0
332,14,245729,167301.01,Mexican Peso,167301.01,Mexican Peso,Cheque,0
333,23544,223950,76811.18,Rupee,76811.18,Rupee,Cheque,0
334,0,18326,1631.64,US Dollar,1631.64,US Dollar,Cheque,0
335,12055,215112,204361.14,Euro,204361.14,Euro,Cheque,0
336,12204,250515,1064.85,US Dollar,1064.85,US Dollar,Credit Card,0
337,1,349,1012.88,US Dollar,1012.88,US Dollar,ACH,1
338,0,5981,41.8,Euro,41.8,Euro,Credit Card,0
339,70,11222,22905.88,US Dollar,22905.88,US Dollar,Cheque,1
340,24029,17353,1840.11,Euro,1840.11,Euro,Cheque,0
341,27,16,9989.03,Ruble,9989.03,Ruble,Cheque,0
342,250253,150028,1371.84,Brazil Real,1371.84,Brazil Real,ACH,1
343,118,268792,0.028134,Bitcoin,0.028134,Bitcoin,Bitcoin,1
344,14172,423,2277.92,Euro,2277.92,Euro,ACH,1
345,13590,17036,533.0,Euro,533.0,Euro,Credit Card,0
346,70,19836,44013.96,Yen,44013.96,Yen,Credit Card,1
347,227269,123568,77433.93,Rupee,77433.93,Rupee,ACH,1
348,285,285,33758.11,Ruble,33758.11,Ruble,ACH,0
349,3460,14620,64.88,Euro,64.88,Euro,Cash,0
350,11265,1422,2798.37,US Dollar,2798.37,US Dollar,ACH,1
351,11047,1807,4121.2,US Dollar,4121.2,US Dollar,ACH,1
352,118159,117946,2224919.71,Yen,2224919.71,Yen,ACH,1
353,21828,15355,10.83,US Dollar,10.83,US Dollar,Cheque,0
354,70,236908,112.06,Canadian Dollar,112.06,Canadian Dollar,Cash,1
355,225265,150317,9607.6,Euro,9607.6,Euro,ACH,1
356,136678,138237,823.94,Canadian Dollar,823.94,Canadian Dollar,Credit Card,0
357,110,241256,5276.69,Australian Dollar,5276.69,Australian Dollar,Credit Card,0
358,70,112,1048.11,Swiss Franc,1048.11,Swiss Franc,Cheque,0
359,70,23,15083.38,Ruble,15083.38,Ruble,Cheque,1
360,1720,24455,2142.44,Euro,2142.44,Euro,Credit Card,0
361,5981,19622,1140.0,Euro,1140.0,Euro,Cheque,0
362,169261,270308,0.921074,Bitcoin,0.921074,Bitcoin,Bitcoin,0
363,136311,238058,263.45,Canadian Dollar,263.45,Canadian Dollar,Cheque,0
364,498,20,2342.59,Euro,2342.59,Euro,ACH,1
365,11305,2692,4181.79,US Dollar,4181.79,US Dollar,ACH,1
366,14,12,15532.8,US Dollar,15532.8,US Dollar,ACH,1
367,9534,211204,909041.45,Yuan,909041.45,Yuan,Cheque,0
368,13474,21566,413.37,US Dollar,413.37,US Dollar,Cheque,0
369,122459,2545,18482.69,US Dollar,18482.69,US Dollar,Credit Card,0
370,70,15461,562.12,Euro,562.12,Euro,Cheque,0
371,70,224,541.98,US Dollar,541.98,US Dollar,Cheque,1
372,70,269294,0.034032,Bitcoin,0.034032,Bitcoin,Bitcoin,0
373,3,13590,206807.42,Euro,206807.42,Euro,ACH,0
374,220729,146606,212.53,US Dollar,212.53,US Dollar,Cheque,0
375,152768,152926,5.79,Swiss Franc,5.79,Swiss Franc,Cash,0
376,20,8318,26352.61,US Dollar,26352.61,US Dollar,Credit Card,0
377,142114,41348,2917.04,Australian Dollar,2917.04,Australian Dollar,ACH,1
378,23726,7058,2367.52,Euro,2367.52,Euro,Cheque,0
379,18890,114721,466860.75,US Dollar,466860.75,US Dollar,Cheque,0
380,29779,29779,155.51,Yuan,155.51,Yuan,Reinvestment,0
381,498,14195,15568.89,Euro,15568.89,Euro,ACH,1
382,1217,1231,4084.31,US Dollar,4084.31,US Dollar,ACH,1
383,1277,1291,2372.79,US Dollar,2372.79,US Dollar,Cheque,0
384,17694,117105,1116.06,Euro,1116.06,Euro,ACH,1
385,112568,112568,8119.68,Mexican Peso,384.03,US Dollar,ACH,0
386,2368,11495,5823.89,US Dollar,5823.89,US Dollar,ACH,1
387,20,11495,3855.25,US Dollar,3855.25,US Dollar,Credit Card,0
388,9715,17256,616786.24,US Dollar,616786.24,US Dollar,ACH,0
389,24816,226085,265552.61,Rupee,265552.61,Rupee,ACH,1
390,149108,248756,1385.93,Brazil Real,1385.93,Brazil Real,Cheque,0
391,11,151782,45.23,Brazil Real,45.23,Brazil Real,Credit Card,0
392,11968,115332,16115.4,Euro,16115.4,Euro,ACH,1
393,119669,8540,2530.55,Euro,2530.55,Euro,ACH,1
394,2860,2860,174324.02,US Dollar,174324.02,US Dollar,Reinvestment,0
395,70,3460,1308.12,Euro,1308.12,Euro,Credit Card,1
396,15763,47381,8047.94,Euro,8047.94,Euro,Cheque,0
